Method,Name,Error,Occurrences
OPTIONS,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",10
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",6
OPTIONS,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
OPTIONS,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",1
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",5
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),15
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",3
