Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
DELETE,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",3
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",4
POST,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",20
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",8
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ConnectionRefusedError(111, 'Connection refused')",1
OPTIONS,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
OPTIONS,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",5
OPTIONS,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),2
DELETE,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),3
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",3
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),23
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",2
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
