Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",2
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",3
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",14
OPTIONS,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),1
DELETE,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),1
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",3
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",9
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),16
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",2
