Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",2
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",9
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),2
POST,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",1
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",2
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",3
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),8
