Method,Name,Error,Occurrences
DELETE,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",9
POST,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",66
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",11
OPTIONS,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",3
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
OPTIONS,/api/user/logout,"ConnectionRefusedError(111, 'Connection refused')",10
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",3
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),9
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",2
